average_rating,num_pages,ratings_count,text_reviews_count,publication_month,book_age,Re_title,Re_main_author,Re_publisher
4.57,652,2095690,27591,9,18,harry potter and the half blood prince  harry potter   6 ,j k  rowling,scholastic inc 
4.49,870,2153167,29221,9,20,harry potter and the order of the phoenix  harry potter   5 ,j k  rowling,scholastic inc 
4.42,352,6333,244,11,21,harry potter and the chamber of secrets  harry potter   2 ,j k  rowling,scholastic
4.56,435,2339585,36325,5,20,harry potter and the prisoner of azkaban  harry potter   3 ,j k  rowling,scholastic inc 
3.74,152,19,1,4,19,unauthorized harry potter book seven news   half blood prince  analysis and speculation,w  frederick zimmerman,nimble books
4.38,815,3628,254,11,19,the ultimate hitchhiker's guide  five complete novels and one story  hitchhiker's guide to the galaxy   1 5 ,douglas adams,gramercy books
4.38,815,249558,4080,4,22,the ultimate hitchhiker's guide to the galaxy  hitchhiker's guide to the galaxy   1 5 ,douglas adams,del rey books
4.22,215,4930,460,8,20,the hitchhiker's guide to the galaxy  hitchhiker's guide to the galaxy   1 ,douglas adams,crown
4.38,815,2877,195,1,28,the ultimate hitchhiker's guide  hitchhiker's guide to the galaxy   1 5 ,douglas adams,wings books
4.21,544,248558,9396,9,20,a short history of nearly everything,bill bryson,broadway books
3.44,55,7270,499,12,22,bill bryson's african diary,bill bryson,broadway books
3.87,256,2088,131,9,20,bryson's dictionary of troublesome words  a writer's guide to getting it right,bill bryson,broadway books
4.07,335,72451,4245,5,23,in a sunburned country,bill bryson,broadway books
3.9,304,49240,2211,6,24,i'm a stranger here myself  notes on returning to america after twenty years away,bill bryson,broadway books
3.83,299,45712,2257,8,34,the lost continent  travels in small town america,bill bryson,william morrow paperbacks
3.86,254,48701,2238,3,31,neither here nor there  travels in europe,bill bryson,william morrow paperbacks
3.91,324,80609,3301,5,27,notes from a small island,bill bryson,william morrow paperbacks
3.93,270,28489,2085,9,33,the mother tongue  english and how it got that way,bill bryson,william morrow paperbacks
4.36,398,2128944,13670,9,21,the fellowship of the ring  the lord of the rings   1 ,j r r  tolkien,houghton mifflin harcourt
4.53,218,19822,46,11,21,the lord of the rings  weapons and warfare,chris   smith,houghton mifflin harcourt
4.5,224,359,6,11,20,the lord of the rings  complete visual companion,jude fisher,houghton mifflin harcourt
3.84,558,1430,59,7,19,agile web development with rails  a pragmatic guide,dave thomas,pragmatic bookshelf
3.72,208,270244,12017,4,24,hatchet  brian's saga   1 ,gary paulsen,atheneum books for young readers  richard jackson books
4.0,48,36,2,8,30,hatchet  a guide for using  hatchet  in the classroom,donna ickes,teacher created resources
3.88,144,2067,334,1,23,guts  the true stories behind hatchet and the brian books,gary paulsen,delacorte press
4.33,56,6,0,6,21,molly hatchet   5 of the best,molly hatchet,cherry lane music company
3.45,228,99,16,11,19,hatchet jobs  writings on contemporary fiction,dale peck,the new press
3.76,304,167,4,11,19,a changeling for all seasons  changeling seasons  1 ,angela knight,changeling press
3.6,256,978,111,8,18,changeling  changeling   1 ,delia sherman,viking juvenile
4.06,137,4454,302,4,21,the changeling sea,patricia a  mckillip,firebird
4.17,228,1176,96,6,20,the changeling,zilpha keatley snyder,iuniverse
3.55,339,301,43,4,19,the changeling,kate horsley,shambhala
3.98,369,345,12,8,34,the changeling  daughters of england   15 ,philippa carr,ivy books
3.83,388,29686,2626,8,18,the known world,edward p  jones,amistad
3.83,14,55,12,6,20,the known world,edward p  jones,harperaudio
3.83,576,22,3,6,20,the known world,edward p  jones,harper
3.83,334,1456,82,5,18,traders  guns   money  knowns and unknowns in the dazzling world of derivatives,satyajit das,ft press
4.13,352,52,4,12,19,artesia  adventures in the known world,mark smylie,archaia
4.42,416,562,37,6,42,the john mcphee reader  john mcphee reader   1 ,john mcphee,farrar  straus and giroux
3.95,248,1630,203,5,18,uncommon carriers,john mcphee,farrar straus giroux
4.17,128,268,22,4,38,heirs of general practice,john mcphee,farrar  straus and giroux
4.24,288,3498,305,9,34,the control of nature,john mcphee,farrar  straus and giroux
4.34,720,3115,228,1,25,annals of the former world,john mcphee,farrar  straus and giroux
4.22,448,5704,261,4,33,coming into the country,john mcphee,farrar  straus and giroux
4.23,288,542,36,4,30,giving good weight,john mcphee,farrar  straus and giroux
4.23,208,1341,98,11,37,rising from the plains,john mcphee,farrar  straus and giroux
3.75,81,1423,70,3,22,the heidi chronicles,wendy wasserstein,dramatists play service
3.84,249,2766,64,7,33,the heidi chronicles  uncommon women and others   isn't it romantic,wendy wasserstein,vintage
3.94,138,31,1,3,18,active literacy across the curriculum  strategies for reading  writing  speaking  and listening,heidi hayes jacobs,routledge
3.77,128,62,4,3,18,simply beautiful beaded jewelry,heidi boyd,north light books
4.46,192,860,53,9,21,always enough  god's miraculous provision among the poorest children on earth,heidi baker,chosen books
3.68,108,77,2,1,27,mapping the big picture  integrating curriculum   assessment k 12,heidi hayes jacobs,association for supervision   curriculum development
3.99,352,153317,2257,11,22,heidi  heidi   1 2 ,johanna spyri,kingfisher
3.25,192,55,5,11,20,getting results with curriculum mapping,heidi hayes jacobs,ascd
4.46,192,34,6,4,21,there's always enough  the miraculous move of god in mozambique,rolland baker,sovereign world
3.89,832,11797,659,10,21,what to expect the first year  what to expect ,heidi murkoff,workman publishing company
3.82,123,34,8,5,20,the player's handbook  the ultimate guide on dating and relationships,heidi fleiss,one hour entertainment
